plotID,siteID,mean.height_mean,mode.el_mean,height.2_mean,mode.2_mean,max.can.ht_mean,mean.max.ht_mean,mean.vai_mean,deep.gaps_mean,deep.gap.fraction_mean,porosity_mean,std.std_mean,mean.std_mean,rugosity_mean,top.rugosity_mean,mean.return.ht_mean,sd.return.ht_mean,sky.fraction_mean,cover.fraction_mean,max.ht_mean,rumple_mean,clumping.index_mean,fPAR_mean
ARNO_01,ARNO,16.10083744,15.57,6.361144027,7.676615242,32.7276,21.064463,7.738311275,0,0,0.790189672,1558.950763,23.22665714,30.29299519,7.915289151,12.15959912,7.400084695,1.055293856,98.94470614,32.7276,6.676,0.918316457,0.949883433
ARNO_02,ARNO,16.92870601,17.26,6.462809197,7.607686436,31.106,21.631725,7.493155375,0,0,0.752497161,996.8871825,20.12891489,23.47957773,7.436387952,13.1045246,7.708737568,2.031261012,97.96873899,31.2518,6.075,0.938130196,0.828520003
ARNO_03,ARNO,6.10292713,5.970833333,3.220919744,3.949656987,19.9285,8.452283333,7.35246074,0,0,0.733224959,118.6475613,5.367834235,8.497364992,4.72284761,3.999721461,3.075812469,2.072653836,97.92734616,20.493,4.445833333,0.786832439,0.916809607
ARNO_04,ARNO,7.537967986,7.315,3.797641639,5.030894756,22.8666,10.733105,7.468601885,0,0,0.768588179,371.4469308,10.10922283,14.73585815,5.742955886,4.714472922,3.600017995,2.996618198,97.0033818,22.8666,5.175,0.843284213,0.960274192
ARNO_05,ARNO,7.9020514,7.788333333,4.343962993,5.467366479,24.94483333,11.60560333,7.557441226,0,0,0.774486408,363.2449054,11.05648574,15.2054535,6.385561957,5.031094562,4.135552668,1.524143163,98.47585684,24.94483333,5.298333333,0.835994785,0.953302186
ARNO_11,ARNO,8.587723424,8.698611112,5.208801828,7.169323328,26.406,13.33675417,7.594977451,0,0,0.770441064,920.4197941,18.97790868,23.02075521,7.817742512,5.07756422,4.666248839,1.261775865,98.73822414,26.406,6.918055556,0.819094585,0.986186204
ARNO_12,ARNO,12.56318048,12.60416667,6.616539566,7.78512704,28.36966667,16.66447833,7.523713757,0,0,0.775930631,828.3048222,17.10934178,21.75145296,8.194388923,8.99301603,6.823789979,1.53302141,98.46697859,28.36966667,6.453333333,0.92210399,0.973766232
ARNO_35,ARNO,9.537997492,9.593,6.09120818,7.609583627,27.8022,13.702053,7.699689425,0,0,0.799603608,1166.926361,17.99614801,26.79259832,8.131821406,6.630294405,6.080094626,0.875709763,99.12429024,27.8022,6.689,0.853105985,0.965536521
ARNO_36,ARNO,6.94651097,6.875,2.635762115,3.307036358,19.22016667,8.999575,7.879570844,0,0,0.711984127,93.61384126,5.418663251,7.180759274,4.115313878,4.355582777,2.652396466,0.694379984,99.30562002,19.22016667,3.875,0.733550279,0.987043057
GRSM_50,GRSM,10.42255642,9.847916668,4.929468799,6.319852414,29.5785,17.18154375,6.628538159,0,0,0.730516493,755.4666991,17.58152279,19.95812968,7.385603297,7.182172343,5.264063717,14.28518729,85.71481271,29.5785,5.197916667,0.90484539,0.977587429
GRSM_53,GRSM,14.04851792,13.03333333,9.150408378,11.74943249,39.39666667,21.78651667,7.364562483,0,0,0.792434371,6757.02045,50.04142202,62.67522964,13.14925042,9.367962521,9.573401026,1.68680686,98.31319314,39.39666667,10.43333333,0.929263588,0.976206341
GRSM_55,GRSM,13.1479412,13.025,7.169904905,9.563335816,36.533,21.368125,7.337593609,0,0,0.767024666,3000.251193,36.99389164,39.7393225,10.16122704,8.099010757,7.115755936,2.608756396,97.3912436,36.533,8.991666667,0.934219323,0.964101553
GRSM_57,GRSM,14.69497684,14.36666667,7.145398571,10.27237982,36.803,23.47486667,7.041237346,0,0,0.74610954,3396.643684,41.23032303,40.5435537,10.00339798,10.13353325,8.009015257,5.121571322,94.87842868,36.803,8.175,0.940178177,0.954204256
GRSM_61,GRSM,13.9900752,14.24333333,5.257308356,8.092488704,31.337,21.416665,6.703206775,0,0,0.67735061,1495.916254,28.30741119,25.89782454,6.347155285,10.20637221,6.773703282,8.989255646,91.01074435,31.337,5.733333333,0.913213083,0.96402018
GRSM_64,GRSM,10.91886382,11.16666667,6.357031601,8.916861712,33.52333333,18.409775,7.605703126,0,0,0.738347339,2264.836153,33.02856788,33.62948193,9.865193077,6.442575941,6.20410223,0.983710987,99.01628901,33.52333333,10.00833333,0.894507788,0.985150868
GRSM_65,GRSM,10.44936062,10.775,4.477958826,6.822253609,25.532,16.483575,7.200099115,0,0,0.651095546,675.7015342,19.52128008,15.76136891,6.110900286,6.527342692,4.616667126,3.678724897,96.32127511,25.532,6.1,0.902023561,0.976060767
GRSM_66,GRSM,11.22343224,9.541666667,5.981226985,8.026563896,32.35533333,18.99646667,7.239707976,0,0,0.777012289,1848.199671,29.88172808,30.35558195,9.360457003,7.33298502,6.372730287,2.932693952,97.06730605,32.35533333,8.225,0.917471615,0.974836952
HARV_33,HARV,13.64243084,14,4.567278947,6.911422917,25.99066667,19.375425,7.562117415,0,0,0.673460182,974.7596594,23.57906113,19.94523914,5.547079131,9.682856203,5.928893144,1.24305246,98.75694754,26.13,4.908333333,0.928440424,0.931072376
HARV_34,HARV,7.54139815,7.3375,4.971376997,6.472360421,28.0645,13.0158875,7.018536325,0,0,0.770431035,1183.095791,18.45571757,27.30819409,8.613191906,4.992317599,5.566904771,4.68703979,95.31296021,28.0645,6,0.753482047,0.841166232
HARV_35,HARV,9.742139168,10.3625,2.161630089,3.111822284,17.336,12.2701125,7.735822076,0,0,0.525730995,83.39188686,7.260991069,5.14275145,2.549635912,6.464414011,3.149953803,1.299613699,98.7003863,18.292,3.425,0.761330731,0.787165811
HARV_36,HARV,12.74021772,11.83333333,4.861061535,7.260599885,27.449,18.42768333,7.333565498,0,0,0.712898615,940.5362789,22.43056185,20.24784805,6.252108944,9.527699038,6.015651864,1.892545496,98.10745451,27.449,5.908333333,0.941599413,0.630122714
HARV_37,HARV,9.356581164,9.283333333,4.332559803,5.727657068,21.514,13.57225833,7.406502679,0,0,0.645454546,228.8317582,10.80977141,9.898009761,5.050390947,6.618367436,4.803178963,1.824709453,98.17529055,21.52566667,4.175,0.885721109,0.850647859
HARV_38,HARV,6.98912976,7.066666667,3.321121433,4.591011359,22.88133333,9.800483333,7.777300774,0,0,0.7363711,194.1822425,7.45736506,11.2374603,5.584911816,4.652472878,3.436876677,0.738733518,99.26126648,22.88133333,4.15,0.768307376,0.777629466
HARV_39,HARV,9.564534276,9.675,4.59207214,6.550203963,24.0775,14.923125,7.202046837,0,0,0.701282051,545.80868,16.90895792,15.95680734,6.357924599,6.417319032,5.103695717,2.605322266,97.39467774,24.0775,5.575,0.91890502,0.939436686
HARV_41,HARV,10.55014205,10.69166667,4.112336396,5.571317433,21.158,13.75889167,7.07328397,0,0,0.701280664,388.7463946,12.42403961,14.07167662,4.993879637,7.242561095,4.821251192,3.992920737,96.00707927,21.158,4.283333333,0.921593256,0.955788214
HARV_42,HARV,8.105121295,7.916666667,4.086852845,5.419677919,23.311,12.92568333,7.413062537,0,0,0.717402778,499.9017657,13.70726637,17.14343726,6.602599242,5.558962601,4.431746119,1.470297196,98.5297028,23.311,5.275,0.851710689,0.928371033
HARV_43,HARV,10.77488358,11.1,3.068842419,4.195323926,19.73966667,13.57546667,7.559398372,0,0,0.649283246,143.5462465,8.578833054,7.895859133,3.784161616,7.592231109,3.704776432,2.543829977,97.45617002,19.73966667,4.133333333,0.887574574,0.294235589
HARV_44,HARV,9.209046221,9.275,4.025685912,5.480451103,20.95566667,13.11010833,7.610706464,0,0,0.66229798,317.3191532,11.88174734,11.19598088,4.918353728,6.25805963,4.411175048,0.890717475,99.10928252,20.95566667,4.725,0.872662937,0.633891217
HARV_45,HARV,11.56615978,11.225,5.408450079,6.835670888,24.61466667,17.03954167,7.072966515,0,0,0.689295465,692.5802051,18.34505734,17.96525416,6.166196506,8.604643626,6.185572764,2.798417631,97.20158237,24.61466667,5.941666667,0.947116074,0.634069522
HARV_47,HARV,8.961123257,9.3375,3.864946989,5.210198489,20.396,12.1623875,7.377102284,0,0,0.690788044,260.5061693,10.57735051,11.98446357,5.08468695,6.196855906,4.148317894,3.195290861,96.80470914,21.126,4.0625,0.886469095,0.927034767
HARV_48,HARV,9.874857952,9.925,3.71615066,4.580277239,21.63366667,11.95676667,7.706258191,0,0,0.713198954,135.1035489,7.361464041,8.85030683,4.544754666,7.116781305,4.108792091,1.056226644,98.94377336,21.63366667,4.333333333,0.885833711,0.740786893
HARV_49,HARV,8.784727498,8.9,3.078746982,3.972169457,20.06366667,11.27328333,7.818592518,0,0,0.684478716,124.3592893,7.03871477,8.515544107,4.036321059,5.98909847,3.424970393,0.47394841,99.52605159,20.06933333,3.683333333,0.802611176,0.833104157
HARV_50,HARV,8.041823515,7.783333333,3.681190642,4.868234728,24.55766667,11.68516667,7.746855948,0,0,0.754944923,492.4840451,12.71196014,18.08512498,6.206978108,5.066491826,4.061409266,0.864614273,99.13538573,24.55766667,6.05,0.804830608,0.878154297
HARV_51,HARV,8.174508135,8.041666667,3.860377438,5.334827607,21.77033333,12.51273333,7.610808661,0,0,0.710677427,337.4457793,11.78582583,12.92369334,5.95671462,5.250566435,3.947745305,0.831723373,99.16827663,21.77033333,4.691666667,0.817206691,0.960609771
HARV_52,HARV,11.23572909,11.68333333,3.22206313,3.879110272,22.31966667,13.46936667,7.763475115,0,0,0.648886693,62.70756642,5.774974625,5.337943216,3.66748328,8.351609379,3.620631062,1.269384119,98.73061588,22.92466667,3.091666667,0.783025176,0.932928516
MLBS_69,MLBS,9.389002576,9.208333333,3.796921677,5.265436972,19.50033333,13.818,7.389237803,0,0,0.667400794,303.6723032,12.2200943,12.23030521,4.706243177,6.536729459,4.475111413,2.410431772,97.58956823,19.50033333,3.641666667,0.911993668,0.878964059
MLBS_74,MLBS,10.6482314,10.09,3.222664249,4.663067047,19.00733333,14.67124167,7.010435527,0,0,0.649211797,227.5069316,10.93752284,9.29948092,3.234648668,7.897103659,4.768737419,3.985923156,96.01407684,19.55933333,2.883333333,0.91383821,0.884581378
OSBS_25,OSBS,5.595696713,5.433333333,5.41250376,5.330438509,15.613,6.101641667,1.834955002,20,0.5,0.896111111,2.861921716,0.627619108,1.429579095,5.891552826,9.668405342,2.242963032,69.0914038,30.9085962,15.613,2.691666667,0.937946701,0.437475818
OSBS_26,OSBS,5.130063825,5.025,5.323692772,5.321479088,15.115,5.548466667,2.231163485,19.33333333,0.483333333,0.886296296,4.11964913,0.850260664,1.67248451,5.816770479,8.938912891,2.852922051,63.03306228,36.96693772,15.115,2.658333333,0.961386941,0.337572312
OSBS_27,OSBS,5.155277036,4.891666667,5.654760929,5.395037729,16.63666667,5.540041667,2.068423685,21.33333333,0.533333333,0.909840686,3.103318046,0.648968257,1.484180167,6.215241802,10.50682971,3.28116501,65.24320222,34.75679778,16.63666667,2.516666667,0.966827136,0.367458067
